"Building.Name","Units","month","Type","Value","SSP"
"CHCL","kWh",9,"Cooling",2777.64654799162,"Original EPW"
"SPG","kWh",1,"Cooling",0,"Original EPW"
"SPG","kWh",10,"Cooling",0,"Original EPW"
"SPG","kWh",11,"Cooling",0,"Original EPW"
"SPG","kWh",12,"Cooling",0,"Original EPW"
"SPG","kWh",2,"Cooling",0,"Original EPW"
"SPG","kWh",3,"Cooling",0,"Original EPW"
"SPG","kWh",4,"Cooling",0.201026499186133,"Original EPW"
"SPG","kWh",5,"Cooling",8.02518053078535,"Original EPW"
"SPG","kWh",6,"Cooling",1037.22021257448,"Original EPW"
"SPG","kWh",7,"Cooling",10718.8404810312,"Original EPW"
"SPG","kWh",8,"Cooling",6365.56494254194,"Original EPW"
"SPG","kWh",9,"Cooling",5325.0024980492,"Original EPW"
"HSD","kWh",1,"Cooling",0,"Original EPW"
"HSD","kWh",10,"Cooling",0,"Original EPW"
"HSD","kWh",11,"Cooling",0,"Original EPW"
"HSD","kWh",12,"Cooling",0,"Original EPW"
"HSD","kWh",2,"Cooling",0,"Original EPW"
"HSD","kWh",3,"Cooling",0,"Original EPW"
"HSD","kWh",4,"Cooling",2.53501814831327,"Original EPW"
"HSD","kWh",5,"Cooling",26.5073732589029,"Original EPW"
"HSD","kWh",6,"Cooling",1220.31606808576,"Original EPW"
"HSD","kWh",7,"Cooling",12002.5629616533,"Original EPW"
"HSD","kWh",8,"Cooling",7136.73813052468,"Original EPW"
"HSD","kWh",9,"Cooling",6379.59193732033,"Original EPW"
"OCE","kWh",1,"Cooling",0,"Original EPW"
"OCE","kWh",10,"Cooling",0,"Original EPW"
"OCE","kWh",11,"Cooling",0,"Original EPW"
"OCE","kWh",12,"Cooling",0,"Original EPW"
"OCE","kWh",2,"Cooling",0,"Original EPW"
"OCE","kWh",3,"Cooling",0,"Original EPW"
"OCE","kWh",4,"Cooling",0.151806556608519,"Original EPW"
"OCE","kWh",5,"Cooling",4.33793764370368,"Original EPW"
"OCE","kWh",6,"Cooling",218.087267376616,"Original EPW"
"OCE","kWh",7,"Cooling",2227.15958195393,"Original EPW"
"OCE","kWh",8,"Cooling",1360.64027493098,"Original EPW"
"OCE","kWh",9,"Cooling",1216.26548612977,"Original EPW"
"CHSB","kWh",1,"Cooling",0,"Original EPW"
"CHSB","kWh",10,"Cooling",0,"Original EPW"
"CHSB","kWh",11,"Cooling",0,"Original EPW"
"CHSB","kWh",12,"Cooling",0,"Original EPW"
"CHSB","kWh",2,"Cooling",0,"Original EPW"
"CHSB","kWh",3,"Cooling",0,"Original EPW"
"CHSB","kWh",4,"Cooling",0.248019257179417,"Original EPW"
"CHSB","kWh",5,"Cooling",2.77319781538065,"Original EPW"
"CHSB","kWh",6,"Cooling",99.2402103019759,"Original EPW"
"CHSB","kWh",7,"Cooling",999.822541869862,"Original EPW"
"CHSB","kWh",8,"Cooling",594.651872371226,"Original EPW"
"CHSB","kWh",9,"Cooling",537.237123154879,"Original EPW"
"UW MEDICAL CENTER","kWh",1,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",10,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",11,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",12,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",2,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",3,"Cooling",0,"Original EPW"
"UW MEDICAL CENTER","kWh",4,"Cooling",58.6392242691153,"Original EPW"
"UW MEDICAL CENTER","kWh",5,"Cooling",271.264128130888,"Original EPW"
"UW MEDICAL CENTER","kWh",6,"Cooling",11706.4404869008,"Original EPW"
"UW MEDICAL CENTER","kWh",7,"Cooling",109407.093483931,"Original EPW"
"UW MEDICAL CENTER","kWh",8,"Cooling",65682.6461343817,"Original EPW"
"UW MEDICAL CENTER","kWh",9,"Cooling",63290.9126838816,"Original EPW"
"UMCU","kWh",1,"Cooling",0,"Original EPW"
"UMCU","kWh",10,"Cooling",0,"Original EPW"
"UMCU","kWh",11,"Cooling",0,"Original EPW"
"UMCU","kWh",12,"Cooling",0,"Original EPW"
"UMCU","kWh",2,"Cooling",0,"Original EPW"
"UMCU","kWh",3,"Cooling",0,"Original EPW"
"UMCU","kWh",4,"Cooling",0.0147799522891961,"Original EPW"
"UMCU","kWh",5,"Cooling",0.328627603374573,"Original EPW"
"UMCU","kWh",6,"Cooling",56.338658704918,"Original EPW"
"UMCU","kWh",7,"Cooling",611.674786767991,"Original EPW"
"UMCU","kWh",8,"Cooling",368.568511796788,"Original EPW"
"UMCU","kWh",9,"Cooling",287.035987216316,"Original EPW"
"CHSC","kWh",1,"Domestic Hot Water",16758.7711863733,"Original EPW"
"CHSC","kWh",10,"Domestic Hot Water",16758.7711863733,"Original EPW"
"CHSC","kWh",11,"Domestic Hot Water",16586.0003494004,"Original EPW"
"CHSC","kWh",12,"Domestic Hot Water",16240.4586754546,"Original EPW"
"CHSC","kWh",2,"Domestic Hot Water",15203.833653617,"Original EPW"
"CHSC","kWh",3,"Domestic Hot Water",17277.0836972921,"Original EPW"
"CHSC","kWh",4,"Domestic Hot Water",15549.3753275629,"Original EPW"
"CHSC","kWh",5,"Domestic Hot Water",17277.0836972921,"Original EPW"
"CHSC","kWh",6,"Domestic Hot Water",16586.0003494004,"Original EPW"
"CHSC","kWh",7,"Domestic Hot Water",16240.4586754546,"Original EPW"
"CHSC","kWh",8,"Domestic Hot Water",17277.0836972921,"Original EPW"
"CHSC","kWh",9,"Domestic Hot Water",16067.6878384816,"Original EPW"
"PBB","kWh",1,"Domestic Hot Water",43090.1872702406,"Original EPW"
"PBB","kWh",10,"Domestic Hot Water",43090.1872702406,"Original EPW"
"PBB","kWh",11,"Domestic Hot Water",42645.9585354959,"Original EPW"
"PBB","kWh",12,"Domestic Hot Water",41757.5010660064,"Original EPW"
"PBB","kWh",2,"Domestic Hot Water",39092.1286575379,"Original EPW"
"PBB","kWh",3,"Domestic Hot Water",44422.8734744749,"Original EPW"
"PBB","kWh",4,"Domestic Hot Water",39980.5861270274,"Original EPW"
"PBB","kWh",5,"Domestic Hot Water",44422.8734744749,"Original EPW"
"PBB","kWh",6,"Domestic Hot Water",42645.9585354959,"Original EPW"
"PBB","kWh",7,"Domestic Hot Water",41757.5010660064,"Original EPW"
"PBB","kWh",8,"Domestic Hot Water",44422.8734744749,"Original EPW"
"PBB","kWh",9,"Domestic Hot Water",41313.2723312616,"Original EPW"
"GNOM","kWh",1,"Domestic Hot Water",16901.0718651094,"Original EPW"
"GNOM","kWh",10,"Domestic Hot Water",16901.0718651094,"Original EPW"
"GNOM","kWh",11,"Domestic Hot Water",16726.8340108299,"Original EPW"
"GNOM","kWh",12,"Domestic Hot Water",16378.358302271,"Original EPW"
"GNOM","kWh",2,"Domestic Hot Water",15332.9311765941,"Original EPW"
"GNOM","kWh",3,"Domestic Hot Water",17423.7854279479,"Original EPW"
"GNOM","kWh",4,"Domestic Hot Water",15681.4068851531,"Original EPW"
"GNOM","kWh",5,"Domestic Hot Water",17423.7854279479,"Original EPW"
"GNOM","kWh",6,"Domestic Hot Water",16726.8340108299,"Original EPW"
"GNOM","kWh",7,"Domestic Hot Water",16378.358302271,"Original EPW"
"GNOM","kWh",8,"Domestic Hot Water",17423.7854279479,"Original EPW"
"GNOM","kWh",9,"Domestic Hot Water",16204.1204479915,"Original EPW"
"HST","kWh",1,"Domestic Hot Water",81862.2285156811,"Original EPW"
"HST","kWh",10,"Domestic Hot Water",81862.2285156811,"Original EPW"
"HST","kWh",11,"Domestic Hot Water",81018.2880155195,"Original EPW"
"HST","kWh",12,"Domestic Hot Water",79330.4070151962,"Original EPW"
"HST","kWh",2,"Domestic Hot Water",74266.7640142262,"Original EPW"
"HST","kWh",3,"Domestic Hot Water",84394.0500161662,"Original EPW"
"HST","kWh",4,"Domestic Hot Water",75954.6450145495,"Original EPW"
"HST","kWh",5,"Domestic Hot Water",84394.0500161662,"Original EPW"
"HST","kWh",6,"Domestic Hot Water",81018.2880155194,"Original EPW"
"HST","kWh",7,"Domestic Hot Water",79330.4070151962,"Original EPW"
"HST","kWh",8,"Domestic Hot Water",84394.0500161662,"Original EPW"
"HST","kWh",9,"Domestic Hot Water",78486.4665150345,"Original EPW"
"BIOE","kWh",1,"Domestic Hot Water",10684.4761473891,"Original EPW"
